gene,sig,sig_cell_types
THRA,1,['Macrophages']
INKA2,1,['Macrophages']
CCDC136,1,['Macrophages']
CBX7,1,['Macrophages']
CBX3,1,['Macrophages']
TIMD4,1,['Macrophages']
TLR2,1,['Macrophages']
TLR4,1,['Macrophages']
TLR5,1,['Macrophages']
TMEM173,1,['Macrophages']
OGFR,1,['Macrophages']
TMEM200A,1,['CD4+ T cells']
IL17RA,1,['Macrophages']
NR1H3,1,['Macrophages']
NORAD,1,['Macrophages']
IL1B,1,['Macrophages']
TNC,1,['Macrophages']
C5AR1,1,['Macrophages']
TNF,1,['CD4+ T cells']
IL21R,1,['Macrophages']
THBS1,1,['CLEC10A+ DCs']
ICAM2,1,['Macrophages']
BCL2A1,1,['Macrophages']
HTR2B,1,['Macrophages']
CA12,1,['Macrophages']
CCT5,1,['Macrophages']
CCT3,1,['Macrophages']
TREM2,1,['Macrophages']
TREM1,1,['Macrophages']
P2RY13,1,['Macrophages']
HSPA8,1,['Macrophages']
OSGIN2,1,['Macrophages']
CCN5,1,['Macrophages']
NIBAN1,1,['Macrophages']
CCL13,1,['Macrophages']
CCL8,1,['Macrophages']
CCL24,1,['Macrophages']
HTRA1,1,['Macrophages']
IQGAP2,1,['Macrophages']
TPCN1,1,['Macrophages']
PDPN,1,['Macrophages']
NLRC5,1,['Macrophages']
NME1,1,['Macrophages']
CCL14,1,['Macrophages']
ZYX,1,['Macrophages']
CHKA,1,['Macrophages']
PEA15,1,['Macrophages']
PER3,1,['Macrophages']
FCGR3B,1,['Macrophages']
FCN1,1,['Macrophages']
SDC2,1,['CD4+ T cells']
SDF2L1,1,['Macrophages']
SEC13,1,['Macrophages']
PTPN2,1,['Macrophages']
SELL,1,['CD4+ T cells']
DKK3,1,['Macrophages']
DISP1,1,['Macrophages']
FGFR1,1,['Macrophages']
PTGER3,1,['CLEC10A+ DCs']
DHCR24,1,['Macrophages']
PTGDR2,1,['CD4+ T cells']
SERPINB9,1,['CLEC10A+ DCs']
FGR,1,['Macrophages']
DEK,1,['CD4+ T cells']
FHL1,1,['Macrophages']
SERPINH1,1,['Macrophages']
SESN3,1,['Macrophages']
SF3B1,1,['Macrophages']
FLOT2,1,['Macrophages']
SGK1,1,['Macrophages']
SH2D3C,1,['Macrophages']
FOLR2,1,['Macrophages']
DAP,1,['Macrophages']
SCPEP1,1,['Macrophages']
SCN9A,1,['Macrophages']
FCGR2A,1,['Macrophages']
DUSP6,1,['Macrophages']
RGPD6,1,['Macrophages']
RHOC,1,['Macrophages']
ENPP2,1,['Macrophages']
ENTPD1,1,['Macrophages']
EPB41L3,1,['Macrophages']
EIF5A,1,['Macrophages']
EIF3A,1,['Macrophages']
RPN1,1,['Macrophages']
ETV5,1,['Macrophages']
RASSF4,1,['Macrophages']
RAN,1,['Macrophages']
DRAM1,1,['Macrophages']
