gene,sig,sig_cell_types
TSSK1B,0,[]
TSSK3,0,[]
YIF1B,0,[]
YTHDF1,0,[]
YTHDC2,0,[]
YLPM1,0,[]
YJEFN3,0,[]
YIPF5,0,[]
YIPF1,0,[]
YES1,0,[]
WDR55,0,[]
YAP1,0,[]
XRCC6,0,[]
XRCC5,0,[]
XRCC4,0,[]
XRCC3,0,[]
XRCC2,0,[]
YTHDF3,0,[]
YWHAZ,0,[]
YY1,0,[]
YY1AP1,0,[]
ZAN,0,[]
ZAP70,0,[]
ZBED9,0,[]
ZBP1,0,[]
ZBTB1,0,[]
ZBTB10,0,[]
ZBTB21,0,[]
ZBTB25,0,[]
ZBTB3,0,[]
ZBTB33,0,[]
ZBTB40,0,[]
ZBTB48,0,[]
ZBTB49,0,[]
XRCC1,0,[]
XPR1,0,[]
XPO7,0,[]
WRN,0,[]
WDR74,0,[]
WDR77,0,[]
WDR81,0,[]
WDR90,0,[]
WEE1,0,[]
WEE2,0,[]
WFDC1,0,[]
WFS1,0,[]
WNT1,0,[]
WNT2,0,[]
WNT3,0,[]
WNT3A,0,[]
WNT4,0,[]
WRAP73,0,[]
WT1,0,[]
XPO6,0,[]
WWC1,0,[]
WWOX,0,[]
WWP2,0,[]
WWTR1,0,[]
XCL2,0,[]
XCR1,0,[]
XDH,0,[]
XIAP,0,[]
XIRP1,0,[]
XPC,0,[]
XPNPEP1,0,[]
XPNPEP3,0,[]
XPO1,0,[]
XPO5,0,[]
ZC2HC1A,0,[]
ZC3H18,0,[]
ZC3H7A,0,[]
ZNF687,0,[]
ZNF281,0,[]
ZNF296,0,[]
ZNF326,0,[]
ZNF341,0,[]
ZNF346,0,[]
ZNF408,0,[]
ZNF410,0,[]
ZNF449,0,[]
ZNF451,0,[]
ZNF512,0,[]
ZNF592,0,[]
ZNF608,0,[]
ZNF639,0,[]
ZNF683,0,[]
ZNF76,0,[]
ZNF232,0,[]
ZNF768,0,[]
ZNF8,0,[]
ZNF804A,0,[]
ZNF827,0,[]
ZNF829,0,[]
ZPR1,0,[]
ZSCAN1,0,[]
ZSCAN12,0,[]
ZSCAN16,0,[]
ZSCAN20,0,[]
ZSCAN26,0,[]
ZSWIM6,0,[]
ZUP1,0,[]
ZYG11B,0,[]
ZNF280C,0,[]
ZNF177,0,[]
ZC3HAV1L,0,[]
ZFPL1,0,[]
ZC4H2,0,[]
ZCCHC10,0,[]
ZCCHC17,0,[]
ZCCHC3,0,[]
ZCCHC8,0,[]
ZDHHC17,0,[]
ZDHHC22,0,[]
ZEB1,0,[]
ZEB2,0,[]
ZER1,0,[]
ZFAND5,0,[]
ZFAT,0,[]
ZFHX4,0,[]
ZFP57,0,[]
ZFYVE1,0,[]
ZNF165,0,[]
ZFYVE21,0,[]
ZFYVE26,0,[]
ZGRF1,0,[]
ZHX3,0,[]
ZIC2,0,[]
ZIC4,0,[]
ZMIZ1,0,[]
ZMPSTE24,0,[]
ZMYM1,0,[]
ZMYM3,0,[]
ZMYND10,0,[]
ZMYND19,0,[]
ZNF106,0,[]
ZNF142,0,[]
WDR72,0,[]
WDR5,0,[]
TTC12,0,[]
UBE3A,0,[]
UCN,0,[]
UCA1,0,[]
UBTF,0,[]
UBR5,0,[]
UBR3,0,[]
UBE4B,0,[]
UBE2T,0,[]
WDR37,0,[]
UBE2L3,0,[]
UBE2I,0,[]
UBE2D3,0,[]
UBE2D2,0,[]
UBE2D1,0,[]
UBE2C,0,[]
UCP2,0,[]
UEVLD,0,[]
UFC1,0,[]
UGDH,0,[]
UGT1A1,0,[]
UGT1A4,0,[]
UGT1A9,0,[]
UGT2B17,0,[]
UGT2B7,0,[]
UHRF1,0,[]
ULBP2,0,[]
ULK1,0,[]
ULK2,0,[]
UMOD,0,[]
UMPS,0,[]
UNC119,0,[]
UNC13A,0,[]
UBASH3B,0,[]
UBASH3A,0,[]
UBAP2L,0,[]
TUBD1,0,[]
TTC23,0,[]
TTC23L,0,[]
TTC4,0,[]
TTC9C,0,[]
TTI1,0,[]
TTK,0,[]
TTPA,0,[]
TUBA4A,0,[]
TUBB,0,[]
TUBB2A,0,[]
TUBB2B,0,[]
TUBB3,0,[]
TUBB4A,0,[]
TUBB6,0,[]
TUBG1,0,[]
UBAP2,0,[]
TUFM,0,[]
TUSC2,0,[]
TWIST2,0,[]
TWSG1,0,[]
TXK,0,[]
TXNDC16,0,[]
TXNDC9,0,[]
TXNRD1,0,[]
TYK2,0,[]
TYMS,0,[]
TYRO3,0,[]
U2AF1,0,[]
U2AF2,0,[]
UBA1,0,[]
UNC45A,0,[]
UNC5A,0,[]
UNG,0,[]
VSTM1,0,[]
VEGFC,0,[]
VEGFD,0,[]
VGF,0,[]
VHL,0,[]
VIP,0,[]
VIPR2,0,[]
VLDLR,0,[]
VPS13A,0,[]
VPS35,0,[]
VPS37B,0,[]
VPS4A,0,[]
VPS50,0,[]
VSIR,0,[]
VSNL1,0,[]
VSTM2B,0,[]
VEGFA,0,[]
VSX2,0,[]
VTCN1,0,[]
VWA8,0,[]
WAPL,0,[]
WAS,0,[]
WASHC3,0,[]
WASHC4,0,[]
WASL,0,[]
WBP2,0,[]
WDFY3,0,[]
WDFY4,0,[]
WDHD1,0,[]
WDR12,0,[]
WDR26,0,[]
VEGFB,0,[]
VDAC2,0,[]
UPF1,0,[]
USP38,0,[]
UPK1A,0,[]
UPK2,0,[]
UPK3A,0,[]
UPK3B,0,[]
UQCC1,0,[]
UQCC3,0,[]
URB1,0,[]
URGCP,0,[]
USF1,0,[]
USP10,0,[]
USP11,0,[]
USP27X,0,[]
USP29,0,[]
USP32,0,[]
USP5,0,[]
VDAC1,0,[]
USP6,0,[]
USP7,0,[]
USP9Y,0,[]
UTP23,0,[]
UTRN,0,[]
UTS2,0,[]
VAMP3,0,[]
VAPB,0,[]
VASP,0,[]
VAV1,0,[]
VAV3,0,[]
VAX1,0,[]
VCAM1,0,[]
VCL,0,[]
SYK,0,[]
SYCP1,0,[]
SWT1,0,[]
SCIN,0,[]
SDAD1,0,[]
SCRIB,0,[]
SCNN1G,0,[]
SCNN1A,0,[]
SCN8A,0,[]
SCN3A,0,[]
SCGN,0,[]
RUBCN,0,[]
SCGB1D2,0,[]
SCGB1D1,0,[]
SCG5,0,[]
SCG2,0,[]
SCFD2,0,[]
SCARB1,0,[]
SDHA,0,[]
SDHAF3,0,[]
SDHB,0,[]
SDK2,0,[]
SEC13,0,[]
SEC14L3,0,[]
SEC16A,0,[]
SEC23B,0,[]
SECISBP2L,0,[]
SEL1L,0,[]
SELE,0,[]
SELENOT,0,[]
SELP,0,[]
SEMA3C,0,[]
MYC,0,[]
SEMA3F,0,[]
SEMA4B,0,[]
SCAPER,0,[]
SCAMP4,0,[]
SCAF4,0,[]
SAA4,0,[]
RUFY2,0,[]
RUNX2,0,[]
RUVBL1,0,[]
RUVBL2,0,[]
RWDD1,0,[]
RWDD4,0,[]
RXFP1,0,[]
RXFP2,0,[]
RXFP3,0,[]
S100A1,0,[]
S100A3,0,[]
S1PR1,0,[]
S1PR3,0,[]
S1PR5,0,[]
SAC3D1,0,[]
SBNO1,0,[]
SACS,0,[]
SAFB,0,[]
SALL4,0,[]
SAMD4A,0,[]
SAMD5,0,[]
SAMD9,0,[]
SAPCD2,0,[]
SART1,0,[]
SART3,0,[]
SASH1,0,[]
SAT2,0,[]
SATB1,0,[]
SATB2,0,[]
SAXO1,0,[]
SEMA4C,0,[]
SEMA7A,0,[]
SENP1,0,[]
SHLD1,0,[]
SH2D3C,0,[]
SH3BGR,0,[]
SH3BGRL2,0,[]
SH3BP5,0,[]
SH3BP5L,0,[]
SH3GLB2,0,[]
SH3TC2,0,[]
SHANK3,0,[]
SHARPIN,0,[]
SHBG,0,[]
SHC1,0,[]
SHC4,0,[]
SHFL,0,[]
SHH,0,[]
SHLD2,0,[]
SH2D1B,0,[]
SHMT2,0,[]
SHOX,0,[]
SIAE,0,[]
SIAH1,0,[]
SIGIRR,0,[]
SIGLEC11,0,[]
SIGLEC6,0,[]
SIGMAR1,0,[]
SIK2,0,[]
SIK3,0,[]
SIM2,0,[]
SIMC1,0,[]
SIN3A,0,[]
SINHCAF,0,[]
SH2D2A,0,[]
SGSH,0,[]
SENP6,0,[]
SESN2,0,[]
SEPTIN5,0,[]
SEPTIN9,0,[]
SERPINA12,0,[]
SERPINA3,0,[]
SERPINA9,0,[]
SERPINB2,0,[]
SERPINB5,0,[]
SERPINB7,0,[]
SERPINC1,0,[]
SERPIND1,0,[]
SERPINE1,0,[]
SERPINF2,0,[]
SERPINH1,0,[]
SERPINI2,0,[]
SESN3,0,[]
SGCA,0,[]
SETD4,0,[]
SETDB1,0,[]
SEZ6L,0,[]
SEZ6L2,0,[]
SF3A1,0,[]
SF3B1,0,[]
SF3B3,0,[]
SF3B4,0,[]
SFPQ,0,[]
SFRP1,0,[]
SFRP4,0,[]
SFRP5,0,[]
SFSWAP,0,[]
SFXN2,0,[]
RUBCNL,0,[]
RTN4IP1,0,[]
SIRPB1,0,[]
RFX1,0,[]
RGS5,0,[]
RGS4,0,[]
RGPD8,0,[]
RGPD6,0,[]
RGPD1,0,[]
RFX4,0,[]
RFTN1,0,[]
RTN4,0,[]
RFPL3,0,[]
RFC5,0,[]
RFC4,0,[]
RFC3,0,[]
REXO2,0,[]
RETREG3,0,[]
RHAG,0,[]
RHBDD1,0,[]
RHCE,0,[]
RHD,0,[]
RHEB,0,[]
RHOA,0,[]
RHOC,0,[]
RHOT1,0,[]
RHOXF2,0,[]
RIC8A,0,[]
RIDA,0,[]
RILPL1,0,[]
RILPL2,0,[]
RIMS3,0,[]
RIMS4,0,[]
RIOX1,0,[]
RIPK1,0,[]
RETREG1,0,[]
RETN,0,[]
RET,0,[]
RC3H1,0,[]
RBM12,0,[]
RBM14,0,[]
RBM15,0,[]
RBM19,0,[]
RBM20,0,[]
RBM23,0,[]
RBM27,0,[]
RBM34,0,[]
RBMS1,0,[]
RBMS2,0,[]
RBMS3,0,[]
RBMX,0,[]
RBPMS,0,[]
RBX1,0,[]
RC3H2,0,[]
REST,0,[]
RCAN2,0,[]
RCC1,0,[]
RCN2,0,[]
RCOR1,0,[]
RDM1,0,[]
RECQL,0,[]
RECQL4,0,[]
REEP4,0,[]
REL,0,[]
RELA,0,[]
RELN,0,[]
REN,0,[]
REPS1,0,[]
RERG,0,[]
RIPK2,0,[]
RIPK3,0,[]
RIPK4,0,[]
RRM2,0,[]
RPA3,0,[]
RPAP1,0,[]
RPAP3,0,[]
RPE65,0,[]
RPF1,0,[]
RPN1,0,[]
RPRM,0,[]
RPRML,0,[]
RPS6KA5,0,[]
RPTOR,0,[]
RPUSD2,0,[]
RRAD,0,[]
RRAS,0,[]
RRM1,0,[]
RRP12,0,[]
RPA1,0,[]
RRP15,0,[]
RRP1B,0,[]
RRS1,0,[]
RS1,0,[]
RSAD2,0,[]
RSBN1,0,[]
RSPH9,0,[]
RSPO2,0,[]
RSPO3,0,[]
RSPRY1,0,[]
RSRC1,0,[]
RTCB,0,[]
RTL1,0,[]
RTL8C,0,[]
RPA2,0,[]
RP1L1,0,[]
RIPOR1,0,[]
RNF167,0,[]
RITA1,0,[]
RLF,0,[]
RLN1,0,[]
RLN2,0,[]
RLN3,0,[]
RMDN1,0,[]
RMND1,0,[]
RMND5A,0,[]
RNASE3,0,[]
RNASEH2B,0,[]
RNASEL,0,[]
RNF112,0,[]
RNF121,0,[]
RNF128,0,[]
RNF180,0,[]
ROS1,0,[]
RNF187,0,[]
RNF2,0,[]
RNF26,0,[]
RNF31,0,[]
RNF38,0,[]
RNF39,0,[]
RNF43,0,[]
RO60,0,[]
ROCK1,0,[]
ROCK2,0,[]
ROR1,0,[]
ROR2,0,[]
RORB,0,[]
RORC,0,[]
SIRPA,0,[]
SIRPG,0,[]
SV2C,0,[]
SPATA5L1,0,[]
SPECC1L,0,[]
SPECC1,0,[]
SPDYA,0,[]
SPATS2L,0,[]
SPATS2,0,[]
SPATA7,0,[]
SPATA5,0,[]
SNX27,0,[]
SPATA4,0,[]
SPATA22,0,[]
SPATA18,0,[]
SPATA16,0,[]
SPART,0,[]
SPANXB1,0,[]
SPI1,0,[]
SPICE1,0,[]
SPIN2A,0,[]
SPIN3,0,[]
SPINK7,0,[]
SPO11,0,[]
SPOCK1,0,[]
SPON1,0,[]
SPON2,0,[]
SPPL2A,0,[]
SPRY2,0,[]
SPRYD7,0,[]
SPTA1,0,[]
SPZ1,0,[]
SQSTM1,0,[]
SRA1,0,[]
SRCAP,0,[]
SPAG6,0,[]
SPAG5,0,[]
SPAG17,0,[]
SOX14,0,[]
SNX4,0,[]
SNX8,0,[]
SOAT1,0,[]
SOCS2,0,[]
SOD1,0,[]
SOD3,0,[]
SOHLH2,0,[]
SORCS2,0,[]
SORD,0,[]
SOST,0,[]
SOSTDC1,0,[]
SOX1,0,[]
SOX10,0,[]
SOX11,0,[]
SOX17,0,[]
SPAG1,0,[]
SOX18,0,[]
SOX2,0,[]
SOX2-OT,0,[]
SOX21,0,[]
SOX30,0,[]
SOX5,0,[]
SOX6,0,[]
SOX8,0,[]
SOX9,0,[]
SP1,0,[]
SP110,0,[]
SP3,0,[]
SPA17,0,[]
SPAAR,0,[]
SRCIN1,0,[]
SRD5A1,0,[]
SRD5A2,0,[]
STUB1,0,[]
STK3,0,[]
STK31,0,[]
STK32A,0,[]
STK33,0,[]
STK35,0,[]
STK39,0,[]
STK4,0,[]
STK40,0,[]
STMN2,0,[]
STOML1,0,[]
STRIP1,0,[]
STRN3,0,[]
STRN4,0,[]
STS,0,[]
STX11,0,[]
STK11,0,[]
STX7,0,[]
STXBP4,0,[]
STXBP5,0,[]
STYK1,0,[]
SUGCT,0,[]
SUGP2,0,[]
SULF2,0,[]
SULT1A1,0,[]
SULT2A1,0,[]
SUMO1,0,[]
SUMO4,0,[]
SUPV3L1,0,[]
SURF6,0,[]
SUV39H1,0,[]
STK16,0,[]
STIM1,0,[]
SRD5A3,0,[]
SSTR4,0,[]
SRF,0,[]
SRFBP1,0,[]
SRPK1,0,[]
SRPX,0,[]
SRSF1,0,[]
SRSF2,0,[]
SRY,0,[]
SS18,0,[]
SSB,0,[]
SSBP3,0,[]
SSRP1,0,[]
SSTR1,0,[]
SSTR2,0,[]
SSTR3,0,[]
SSTR5,0,[]
STIL,0,[]
SSX1,0,[]
SSX2,0,[]
SSX2IP,0,[]
SSX4,0,[]
ST6GAL1,0,[]
STAC3,0,[]
STAP1,0,[]
STAR,0,[]
STAT5A,0,[]
STAT5B,0,[]
STAT6,0,[]
STAU1,0,[]
STAU2,0,[]
STH,0,[]
SNX33,0,[]
SNX19,0,[]
SIRT2,0,[]
SLC26A3,0,[]
SLC30A7,0,[]
SLC2A9,0,[]
SLC2A4,0,[]
SLC2A2,0,[]
SLC29A3,0,[]
SLC29A1,0,[]
SLC26A2,0,[]
SNX17,0,[]
SLC25A40,0,[]
SLC25A4,0,[]
SLC25A39,0,[]
SLC25A31,0,[]
SLC25A17,0,[]
SLC25A13,0,[]
SLC30A8,0,[]
SLC35E1,0,[]
SLC35G2,0,[]
SLC37A4,0,[]
SLC38A7,0,[]
SLC39A9,0,[]
SLC3A1,0,[]
SLC3A2,0,[]
SLC43A2,0,[]
SLC4A1,0,[]
SLC4A1AP,0,[]
SLC5A1,0,[]
SLC5A2,0,[]
SLC5A5,0,[]
SLC5A7,0,[]
SLC6A1,0,[]
SLC6A12,0,[]
SLC25A11,0,[]
SLC25A10,0,[]
SLC25A1,0,[]
SLC17A5,0,[]
SIRT3,0,[]
SIRT6,0,[]
SIX1,0,[]
SKA3,0,[]
SKP1,0,[]
SLAMF6,0,[]
SLC10A1,0,[]
SLC11A1,0,[]
SLC11A2,0,[]
SLC12A2,0,[]
SLC12A6,0,[]
SLC15A1,0,[]
SLC16A1,0,[]
SLC16A4,0,[]
SLC17A6,0,[]
SLC24A1,0,[]
SLC17A8,0,[]
SLC19A1,0,[]
SLC1A1,0,[]
SLC1A2,0,[]
SLC1A5,0,[]
SLC20A2,0,[]
SLC22A1,0,[]
SLC22A12,0,[]
SLC22A2,0,[]
SLC22A4,0,[]
SLC22A5,0,[]
SLC22A8,0,[]
SLC22A9,0,[]
SLC23A2,0,[]
SLC6A17,0,[]
SLC6A2,0,[]
SLC6A3,0,[]
SND1,0,[]
SMOX,0,[]
SMPD1,0,[]
SMPD3,0,[]
SMPDL3B,0,[]
SMTN,0,[]
SMURF1,0,[]
SMURF2,0,[]
SMYD3,0,[]
SNAI1,0,[]
SNAI2,0,[]
SNAP23,0,[]
SNAP25,0,[]
SNAP47,0,[]
SNCA,0,[]
SNHG1,0,[]
SMOC1,0,[]
SNHG11,0,[]
SNHG15,0,[]
SNHG17,0,[]
SNHG8,0,[]
SNRNP200,0,[]
SNRPB,0,[]
SNRPD1,0,[]
SNRPD3,0,[]
SNTG2,0,[]
SNURF,0,[]
SNX1,0,[]
SNX11,0,[]
SNX15,0,[]
SNX16,0,[]
SMOC2,0,[]
SMO,0,[]
SLC6A4,0,[]
SMAD4,0,[]
SLC6A5,0,[]
SLC6A9,0,[]
SLC7A11,0,[]
SLC9A1,0,[]
SLC9A3,0,[]
SLCO1B1,0,[]
SLCO1B3,0,[]
SLCO1C1,0,[]
SLFN11,0,[]
SLITRK1,0,[]
SLITRK5,0,[]
SLMAP,0,[]
SMAD1,0,[]
SMAD2,0,[]
SMAP2,0,[]
SMN2,0,[]
SMARCA1,0,[]
SMARCA2,0,[]
SMARCA4,0,[]
SMARCA5,0,[]
SMARCAD1,0,[]
SMARCAL1,0,[]
SMARCB1,0,[]
SMARCC1,0,[]
SMARCE1,0,[]
SMC1A,0,[]
SMC3,0,[]
SMC4,0,[]
SMCHD1,0,[]
SMN1,0,[]
MYCBP,0,[]
LPCAT1,0,[]
MYBL2,0,[]
COL7A1,0,[]
CORO1B,0,[]
CORIN,0,[]
COQ8A,0,[]
COPS5,0,[]
COMT,0,[]
COLQ,0,[]
COL4A5,0,[]
CREB3,0,[]
COL4A3,0,[]
COL4A2,0,[]
COL4A1,0,[]
COL2A1,0,[]
COL25A1,0,[]
COL18A1,0,[]
CORO1C,0,[]
CORT,0,[]
CP,0,[]
CPA4,0,[]
CPA5,0,[]
CPA6,0,[]
CPB2,0,[]
CPEB1,0,[]
CPEB3,0,[]
CPLX3,0,[]
CPNE9,0,[]
CPS1,0,[]
CPSF6,0,[]
CPT1A,0,[]
CPZ,0,[]
CR2,0,[]
CRB2,0,[]
COL10A1,0,[]
COIL,0,[]
COBLL1,0,[]
CNIH4,0,[]
CLOCK,0,[]
CLPTM1L,0,[]
CLPX,0,[]
CLSTN1,0,[]
CLSTN3,0,[]
CLTC,0,[]
CMA1,0,[]
CMSS1,0,[]
CMTM5,0,[]
CMTM8,0,[]
CMYA5,0,[]
CNDP1,0,[]
CNGB1,0,[]
CNGB3,0,[]
CNKSR3,0,[]
COASY,0,[]
CNMD,0,[]
CNNM1,0,[]
CNNM3,0,[]
CNOT1,0,[]
CNP,0,[]
CNR1,0,[]
CNR2,0,[]
CNTF,0,[]
CNTLN,0,[]
CNTN2,0,[]
CNTN6,0,[]
CNTNAP3,0,[]
CNTNAP4,0,[]
CNTROB,0,[]
CREB1,0,[]
CREB5,0,[]
CLN5,0,[]
CTCF,0,[]
CTRL,0,[]
CTNNB1,0,[]
CTNNAL1,0,[]
CTNNA1,0,[]
CTH,0,[]
CTCFL,0,[]
CTBP2,0,[]
CREBBP,0,[]
CTBP1,0,[]
CTAG1B,0,[]
CST5,0,[]
CST4,0,[]
CST2,0,[]
CST1,0,[]
CTSC,0,[]
CTTNBP2NL,0,[]
CTXN3,0,[]
CUBN,0,[]
CUEDC2,0,[]
CUL2,0,[]
CUL3,0,[]
CUL4A,0,[]
CUL4B,0,[]
CUL5,0,[]
CUTA,0,[]
CUX2,0,[]
CUZD1,0,[]
CX3CL1,0,[]
CX3CR1,0,[]
CXCL16,0,[]
CXCL2,0,[]
CSRP3,0,[]
CSRP1,0,[]
CSPP1,0,[]
CRYBG1,0,[]
CREG1,0,[]
CREG2,0,[]
CRH,0,[]
CRHR1,0,[]
CRHR2,0,[]
CRIPT,0,[]
CRK,0,[]
CRKL,0,[]
CRNDE,0,[]
CRNN,0,[]
CRTAC1,0,[]
CRTAM,0,[]
CRYAA,0,[]
CRYBB3,0,[]
CRYBG3,0,[]
CSNK2B,0,[]
CRYGC,0,[]
CRYGS,0,[]
CRYZ,0,[]
CRYZL1,0,[]
CSE1L,0,[]
CSF2RA,0,[]
CSF2RB,0,[]
CSF3,0,[]
CSNK1A1,0,[]
CSNK1A1L,0,[]
CSNK1E,0,[]
CSNK1G1,0,[]
CSNK2A1,0,[]
CSNK2A2,0,[]
CLNK,0,[]
CLN3,0,[]
CXCR1,0,[]
CDKL1,0,[]
CDKN2B,0,[]
CDKN2AIP,0,[]
CDKN2A,0,[]
CDKN1C,0,[]
CDKN1B,0,[]
CDKL3,0,[]
CDKAL1,0,[]
CEP55,0,[]
CDK9,0,[]
CDK8,0,[]
CDK7,0,[]
CDK6,0,[]
CDK5RAP1,0,[]
CDK5,0,[]
CDKN3,0,[]
CDSN,0,[]
CDV3,0,[]
CDX1,0,[]
CDX2,0,[]
CEACAM1,0,[]
CEACAM3,0,[]
CEACAM8,0,[]
CEBPA,0,[]
CELSR2,0,[]
CELSR3,0,[]
CEMIP2,0,[]
CENPA,0,[]
CENPB,0,[]
CENPV,0,[]
CEP128,0,[]
CEP170,0,[]
CDK4,0,[]
CDK3,0,[]
CDK2,0,[]
CDCA3,0,[]
CDA,0,[]
CDAN1,0,[]
CDC123,0,[]
CDC20,0,[]
CDC25A,0,[]
CDC25C,0,[]
CDC27,0,[]
CDC34,0,[]
CDC37,0,[]
CDC42,0,[]
CDC42BPG,0,[]
CDC6,0,[]
CDC73,0,[]
CDCA2,0,[]
CDCP1,0,[]
CDK18,0,[]
CDH1,0,[]
CDH13,0,[]
CDH16,0,[]
CDH2,0,[]
CDH22,0,[]
CDH5,0,[]
CDH6,0,[]
CDH7,0,[]
CDHR2,0,[]
CDK1,0,[]
CDK10,0,[]
CDK14,0,[]
CDK16,0,[]
CDK17,0,[]
CEP19,0,[]
CEP85,0,[]
CLK4,0,[]
CHST8,0,[]
CKAP2,0,[]
CISD2,0,[]
CIP2A,0,[]
CINP,0,[]
CILP2,0,[]
CHUK,0,[]
CHRNB4,0,[]
CES1,0,[]
CHRNB3,0,[]
CHRNB2,0,[]
CHRNB1,0,[]
CHRNA7,0,[]
CHRNA6,0,[]
CHRNA5,0,[]
CKAP5,0,[]
CKS2,0,[]
CLCN3,0,[]
CLCN5,0,[]
CLDN1,0,[]
CLDN18,0,[]
CLDN5,0,[]
CLEC14A,0,[]
CLEC16A,0,[]
CLEC2A,0,[]
CLEC4M,0,[]
CLEC9A,0,[]
CLGN,0,[]
CLIC3,0,[]
CLIC4,0,[]
CLK2,0,[]
CLK3,0,[]
CHRNA4,0,[]
CHRNA3,0,[]
CHRNA2,0,[]
CHAF1A,0,[]
CETP,0,[]
CFAP20,0,[]
CFAP43,0,[]
CFAP46,0,[]
CFAP47,0,[]
CFC1,0,[]
CFDP1,0,[]
CFLAR,0,[]
CFTR,0,[]
CGB3,0,[]
CGNL1,0,[]
CGRRF1,0,[]
CH25H,0,[]
CHAD,0,[]
CHAMP1,0,[]
CHRM5,0,[]
CHD3,0,[]
CHD5,0,[]
CHD7,0,[]
CHEK1,0,[]
CHEK2,0,[]
CHFR,0,[]
CHKA,0,[]
CHODL,0,[]
CHRAC1,0,[]
CHRDL2,0,[]
CHRM1,0,[]
CHRM2,0,[]
CHRM3,0,[]
CHRM4,0,[]
CXCL6,0,[]
CXCR2,0,[]
MYBBP1A,0,[]
E2F3,0,[]
ECD,0,[]
EBP,0,[]
EBI3,0,[]
EBF2,0,[]
E4F1,0,[]
E2F4,0,[]
E2F1,0,[]
EFS,0,[]
DYRK1B,0,[]
DYRK1A,0,[]
DYNC1H1,0,[]
DYDC1,0,[]
DVL3,0,[]
DVL2,0,[]
ECEL1,0,[]
ECHDC1,0,[]
ECHS1,0,[]
ECPAS,0,[]
ECRG4,0,[]
ECSIT,0,[]
EDIL3,0,[]
EDN1,0,[]
EDNRA,0,[]
EDNRB,0,[]
EDRF1,0,[]
EED,0,[]
EEF1A2,0,[]
EEF1AKNMT,0,[]
EEF1G,0,[]
EFHC2,0,[]
EFNB2,0,[]
DVL1,0,[]
DUX4,0,[]
DUSP6,0,[]
DRC3,0,[]
DOCK9,0,[]
DOK5,0,[]
DOK7,0,[]
DOT1L,0,[]
DPAGT1,0,[]
DPF2,0,[]
DPF3,0,[]
DPM1,0,[]
DPP4,0,[]
DPP8,0,[]
DPPA2,0,[]
DPY19L2,0,[]
DPYSL2,0,[]
DRC1,0,[]
DRD1,0,[]
DUSP28,0,[]
DRD2,0,[]
DRD3,0,[]
DRD5,0,[]
DRG1,0,[]
DSG1,0,[]
DSG2,0,[]
DST,0,[]
DTNBP1,0,[]
DTX1,0,[]
DUOX2,0,[]
DUOXA1,0,[]
DUOXA2,0,[]
DUSP13,0,[]
DUSP23,0,[]
EFR3A,0,[]
EFTUD2,0,[]
DNTT,0,[]
EMSY,0,[]
ENOSF1,0,[]
ENO2,0,[]
ENKUR,0,[]
ENG,0,[]
EN2,0,[]
EN1,0,[]
EMP2,0,[]
EGF,0,[]
EMD,0,[]
EMC4,0,[]
EMC1,0,[]
ELSPBP1,0,[]
ELOC,0,[]
ELOB,0,[]
ENOX1,0,[]
ENOX2,0,[]
ENPEP,0,[]
ENPP1,0,[]
ENPP3,0,[]
ENTPD2,0,[]
EOMES,0,[]
EP300,0,[]
EPB41L3,0,[]
EPCAM,0,[]
EPDR1,0,[]
EPG5,0,[]
EPHA10,0,[]
EPHA2,0,[]
EPHA4,0,[]
EPHA7,0,[]
EPHA8,0,[]
ELMOD2,0,[]
ELMOD1,0,[]
ELK4,0,[]
EIF2S1,0,[]
EGLN1,0,[]
EGLN3,0,[]
EGR2,0,[]
EGR4,0,[]
EHBP1,0,[]
EHF,0,[]
EHMT1,0,[]
EHMT2,0,[]
EID1,0,[]
EIF1AD,0,[]
EIF1AY,0,[]
EIF1B,0,[]
EIF2AK2,0,[]
EIF2AK3,0,[]
EIF3C,0,[]
ELK1,0,[]
EIF4A3,0,[]
EIF4E,0,[]
EIF4EBP1,0,[]
EIF4EBP2,0,[]
EIF4EBP3,0,[]
EIF4ENIF1,0,[]
EIF4G1,0,[]
EIF5AL1,0,[]
EIPR1,0,[]
ELAC1,0,[]
ELAC2,0,[]
ELAVL1,0,[]
ELF4,0,[]
ELFN1,0,[]
DOC2A,0,[]
DNPEP,0,[]
CXCR3,0,[]
DBN1,0,[]
DCX,0,[]
DCTN1,0,[]
DCT,0,[]
DCDC1,0,[]
DCAF1,0,[]
DBR1,0,[]
DAZL,0,[]
DDX3X,0,[]
DAZAP2,0,[]
DAZAP1,0,[]
DAXX,0,[]
DAP3,0,[]
DAP,0,[]
DAOA,0,[]
DDB1,0,[]
DDB2,0,[]
DDC,0,[]
DDI2,0,[]
DDIT3,0,[]
DDIT4L,0,[]
DDR1,0,[]
DDR2,0,[]
DDX1,0,[]
DDX10,0,[]
DDX19A,0,[]
DDX20,0,[]
DDX21,0,[]
DDX25,0,[]
DDX27,0,[]
DDX28,0,[]
DDX31,0,[]
DAO,0,[]
DAG1,0,[]
DACT2,0,[]
CYP2C19,0,[]
CXCR5,0,[]
CYBA,0,[]
CYBC1,0,[]
CYHR1,0,[]
CYP11A1,0,[]
CYP11B2,0,[]
CYP17A1,0,[]
CYP19A1,0,[]
CYP1A1,0,[]
CYP1A2,0,[]
CYP1B1,0,[]
CYP20A1,0,[]
CYP24A1,0,[]
CYP2A6,0,[]
