gene,sig,n_up,n_down,sig_cell_types
TGFB1I1,3,0,3,"['CD4+ T cells', 'Macrophages', 'Mast cells']"
SCN9A,3,0,3,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages']"
STAT3,3,3,0,"['CLEC10A+ DCs', 'Langerhans', 'Macrophages']"
PDPN,3,3,0,"['CLEC10A+ DCs', 'Macrophages', 'Mast cells']"
MDFIC,3,1,2,"['CD8+ T cells', 'Mast cells', 'Tregs']"
EMP1,3,0,3,"['CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages']"
DMWD,3,0,3,"['CLEC10A+ DCs', 'Langerhans', 'Macrophages']"
IL21R,3,3,0,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages']"
CD34,3,0,3,"['CLEC10A+ DCs', 'Macrophages', 'Tregs']"
CADM3,3,0,3,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages']"
ITGA4,3,3,0,"['CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages']"
SDC2,3,0,3,"['CD4+ T cells', 'CD8+ T cells', 'Tregs']"
PPP1R16B,3,3,0,"['CLEC10A+ DCs', 'Macrophages', 'Tregs']"
ADGRG6,3,0,3,"['CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages']"
PTGER4,3,0,3,"['CD4+ T cells', 'CD8+ T cells', 'Tregs']"
NFKB1,3,3,0,"['CLEC10A+ DCs', 'Macrophages', 'Mast cells']"
TGFB1,3,0,3,"['CD4+ T cells', 'CD8+ T cells', 'Macrophages']"
STEAP4,3,3,0,"['CLEC10A+ DCs', 'Macrophages', 'Mast cells']"
STAT1,3,3,0,"['CLEC9A+ DCs', 'Macrophages', 'Mast cells']"
RHOH,3,3,0,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages']"
THBS1,3,3,0,"['CLEC10A+ DCs', 'Macrophages', 'Mast cells']"
KCNJ15,3,2,1,"['CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages']"
LBH,3,2,1,"['CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages']"
THY1,3,3,0,"['CLEC10A+ DCs', 'Macrophages', 'Mast cells']"
CNTNAP1,3,0,3,"['CD4+ T cells', 'CD8+ T cells', 'Tregs']"
FGFR1,3,0,3,"['CD4+ T cells', 'CD8+ T cells', 'Macrophages']"
PHETA1,3,0,3,"['CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages']"
CXCL12,3,0,3,"['CD8+ T cells', 'CLEC10A+ DCs', 'Tregs']"
SOCS1,3,3,0,"['CLEC10A+ DCs', 'Macrophages', 'Mast cells']"
MME,3,3,0,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages']"
CCR2,3,1,2,"['CD8+ T cells', 'Macrophages', 'Tregs']"
FPR1,3,3,0,"['CLEC10A+ DCs', 'Langerhans', 'Macrophages']"
MMP14,3,3,0,"['CLEC10A+ DCs', 'CLEC9A+ DCs', 'Mast cells']"
LDHA,3,3,0,"['CLEC10A+ DCs', 'Langerhans', 'Macrophages']"
CCL18,3,3,0,"['CD4+ T cells', 'Mast cells', 'Tregs']"
FLT3LG,3,0,3,"['CD4+ T cells', 'CD8+ T cells', 'Tregs']"
COLEC12,3,0,3,"['CD4+ T cells', 'CLEC9A+ DCs', 'Macrophages']"
CD163,3,3,0,"['CD4+ T cells', 'CD8+ T cells', 'Mast cells']"
TNS2,3,0,3,"['CD4+ T cells', 'Macrophages', 'Tregs']"
CTSL,3,3,0,"['CD4+ T cells', 'CLEC10A+ DCs', 'Mast cells']"
FCER1A,3,0,3,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs']"
ST14,3,3,0,"['CLEC10A+ DCs', 'Macrophages', 'Mast cells']"
CTSK,3,3,0,"['Macrophages', 'Mast cells', 'Tregs']"
LPAR6,3,0,3,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs']"
PFKFB3,3,3,0,"['CD4+ T cells', 'Macrophages', 'Tregs']"
ACVR1B,3,0,3,"['CD4+ T cells', 'CD8+ T cells', 'Tregs']"
CLEC4D,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
IL33,2,0,2,"['CD4+ T cells', 'Macrophages']"
LILRA1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
SLAMF1,2,1,1,"['CD8+ T cells', 'Macrophages']"
LAMB3,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
SLAMF7,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
LEF1,2,1,1,"['CD8+ T cells', 'Macrophages']"
PDE4A,2,0,2,"['CD4+ T cells', 'CLEC9A+ DCs']"
TUBA4A,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
VSTM2L,2,0,2,"['CD4+ T cells', 'CD8+ T cells']"
H19,2,0,2,"['CD4+ T cells', 'Macrophages']"
LILRA5,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
COL17A1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
BLNK,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
LILRB1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
SOS1,2,0,2,"['CD4+ T cells', 'Tregs']"
AOAH,2,2,0,"['CD8+ T cells', 'CLEC9A+ DCs']"
NDRG2,2,0,2,"['CD4+ T cells', 'CD8+ T cells']"
COL5A2,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
LEPR,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
PID1,2,0,2,"['CD4+ T cells', 'CLEC10A+ DCs']"
IFITM1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
INPP4B,2,0,2,"['CD8+ T cells', 'Tregs']"
NTN4,2,0,2,"['Macrophages', 'Tregs']"
DTNA,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
DSG3,2,2,0,"['CLEC10A+ DCs', 'Langerhans']"
PI16,2,0,2,"['CD8+ T cells', 'Tregs']"
GSTO1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
PIM1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
PDE5A,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
PIM2,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
IL9R,2,0,2,"['CD4+ T cells', 'CD8+ T cells']"
NCR3,2,0,2,"['CD4+ T cells', 'CD8+ T cells']"
CFB,2,2,0,"['CD4+ T cells', 'CLEC10A+ DCs']"
DNM1,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
CFL2,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
NDRG1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
