gene,sig,n_up,n_down,sig_cell_types
EZH2,1,1,0,['Macrophages']
GBP1,1,1,0,['Macrophages']
FUT7,1,1,0,['Macrophages']
FER,1,0,1,['Macrophages']
FURIN,1,1,0,['Tregs']
RAP2A,1,0,1,['CLEC10A+ DCs']
RGN,1,0,1,['CD4+ T cells']
RAPGEF3,1,0,1,['Macrophages']
RFX2,1,0,1,['CD4+ T cells']
FGF13,1,0,1,['Macrophages']
FSCN1,1,0,1,['Macrophages']
FRMD6,1,1,0,['Macrophages']
FGFR3,1,1,0,['CLEC10A+ DCs']
RET,1,0,1,['CD4+ T cells']
FGR,1,1,0,['Macrophages']
FHAD1,1,1,0,['Macrophages']
FHL1,1,0,1,['Macrophages']
FPR2,1,1,0,['Macrophages']
FILIP1L,1,0,1,['CLEC10A+ DCs']
RASSF4,1,1,0,['Macrophages']
RASSF5,1,1,0,['Macrophages']
FOXO3,1,0,1,['Macrophages']
FLNC,1,0,1,['Macrophages']
RBBP8,1,1,0,['CLEC10A+ DCs']
FMN1,1,1,0,['CLEC10A+ DCs']
FN3KRP,1,0,1,['CLEC10A+ DCs']
RBPJ,1,0,1,['CD8+ T cells']
RBM38,1,1,0,['Macrophages']
FEN1,1,1,0,['Macrophages']
FXYD7,1,0,1,['CD8+ T cells']
PTX3,1,1,0,['Macrophages']
FYN,1,1,0,['Macrophages']
F13A1,1,1,0,['Mast cells']
F2RL3,1,0,1,['Macrophages']
F5,1,1,0,['CD4+ T cells']
PVT1,1,1,0,['Macrophages']
GAS6,1,0,1,['Macrophages']
ROR2,1,1,0,['Macrophages']
GANC,1,0,1,['CLEC10A+ DCs']
ROBO4,1,0,1,['Macrophages']
GAL,1,1,0,['Macrophages']
RNF187,1,1,0,['Langerhans']
RAB27A,1,1,0,['Macrophages']
FAP,1,1,0,['Macrophages']
GABRB2,1,0,1,['Macrophages']
FAT1,1,0,1,['Mast cells']
FAT4,1,1,0,['Macrophages']
FBP1,1,1,0,['Macrophages']
GAB1,1,0,1,['Macrophages']
G6PD,1,1,0,['Macrophages']
FZD9,1,0,1,['Macrophages']
FCAR,1,1,0,['Macrophages']
FCER2,1,0,1,['Macrophages']
FCGR2A,1,1,0,['Tregs']
FCN1,1,1,0,['Macrophages']
FCRL3,1,1,0,['CD4+ T cells']
RALGPS1,1,0,1,['Macrophages']
GRIN2C,1,0,1,['Macrophages']
SGK1,1,1,0,['Macrophages']
ID4,1,0,1,['CD4+ T cells']
PLSCR1,1,1,0,['Macrophages']
SNCA,1,0,1,['Macrophages']
PLP2,1,1,0,['Macrophages']
CX3CR1,1,1,0,['Macrophages']
CXADR,1,1,0,['CLEC10A+ DCs']
CXCL10,1,1,0,['CLEC10A+ DCs']
CXCL11,1,1,0,['Macrophages']
CXCL2,1,1,0,['Macrophages']
CXCL5,1,1,0,['Macrophages']
CXCL9,1,1,0,['CLEC9A+ DCs']
HOXB6,1,0,1,['Macrophages']
HOXB5,1,0,1,['Macrophages']
CCL27,1,0,1,['Langerhans']
CXCR6,1,1,0,['Tregs']
SH2B2,1,1,0,['Macrophages']
SMOC2,1,1,0,['Macrophages']
CYFIP2,1,1,0,['Macrophages']
PLXNC1,1,1,0,['Macrophages']
HOTAIR,1,0,1,['CD4+ T cells']
SMC4,1,1,0,['Tregs']
CYP27A1,1,1,0,['Macrophages']
PMP22,1,0,1,['Macrophages']
SMAD7,1,1,0,['Macrophages']
SMAD3,1,0,1,['CLEC10A+ DCs']
CYSLTR2,1,0,1,['Macrophages']
SLITRK4,1,0,1,['Macrophages']
SLITRK2,1,0,1,['CD4+ T cells']
PLIN4,1,0,1,['Macrophages']
HPGD,1,0,1,['CD8+ T cells']
HPGDS,1,0,1,['Macrophages']
PLIN1,1,0,1,['Macrophages']
CPVL,1,0,1,['CLEC10A+ DCs']
CR1,1,1,0,['Macrophages']
ICAM3,1,1,0,['Macrophages']
SPAG8,1,0,1,['Macrophages']
CREB5,1,0,1,['CLEC10A+ DCs']
ICAM1,1,1,0,['CLEC10A+ DCs']
SP140,1,1,0,['CLEC10A+ DCs']
CRY2,1,0,1,['Macrophages']
SOX5,1,0,1,['Macrophages']
CRYBG3,1,0,1,['CD4+ T cells']
HTR2B,1,0,1,['Macrophages']
CSF1,1,1,0,['Macrophages']
CSF1R,1,0,1,['Macrophages']
PKM,1,1,0,['Macrophages']
HSPD1,1,1,0,['CLEC9A+ DCs']
SORL1,1,1,0,['Macrophages']
HSPA9,1,1,0,['CLEC9A+ DCs']
HSF4,1,0,1,['Macrophages']
CST7,1,1,0,['Macrophages']
PLCB1,1,0,1,['CD4+ T cells']
CTDSPL,1,0,1,['Macrophages']
HSD11B2,1,0,1,['CD4+ T cells']
HSD11B1,1,1,0,['Macrophages']
HS3ST2,1,1,0,['Macrophages']
PLEKHH2,1,0,1,['CD8+ T cells']
DAB2,1,0,1,['Macrophages']
SLIT3,1,0,1,['CLEC10A+ DCs']
SLCO2B1,1,1,0,['CLEC10A+ DCs']
DLL1,1,1,0,['Macrophages']
DMKN,1,1,0,['CLEC10A+ DCs']
DMPK,1,0,1,['CLEC10A+ DCs']
SLC16A9,1,0,1,['CLEC9A+ DCs']
SLC12A2,1,1,0,['Macrophages']
SLC11A1,1,1,0,['Macrophages']
SLAMF6,1,1,0,['Macrophages']
SKP2,1,0,1,['Macrophages']
GZMB,1,1,0,['Macrophages']
GYG2,1,0,1,['Macrophages']
GXYLT2,1,0,1,['CD8+ T cells']
DNASE1L3,1,0,1,['CLEC9A+ DCs']
SIRPB1,1,1,0,['Macrophages']
SIM2,1,0,1,['CD4+ T cells']
SIGLEC9,1,1,0,['Macrophages']
SIGLEC7,1,1,0,['Macrophages']
SIGLEC11,1,0,1,['Macrophages']
SIGLEC1,1,0,1,['Macrophages']
DPP4,1,0,1,['Tregs']
SHMT1,1,0,1,['Macrophages']
GSR,1,1,0,['CLEC9A+ DCs']
SHFL,1,0,1,['Macrophages']
SH3RF2,1,0,1,['CLEC9A+ DCs']
SH2D3C,1,1,0,['Macrophages']
SH2D2A,1,1,0,['Macrophages']
PRKCH,1,1,0,['Macrophages']
DMD,1,0,1,['Macrophages']
SLC18A2,1,0,1,['CD4+ T cells']
SLC9A3R2,1,0,1,['Macrophages']
PPM1H,1,0,1,['Mast cells']
DAZAP2,1,0,1,['CLEC9A+ DCs']
HK2,1,1,0,['Macrophages']
DCLK1,1,0,1,['CD4+ T cells']
POLE,1,0,1,['Macrophages']
HHEX,1,0,1,['CLEC10A+ DCs']
HGF,1,0,1,['Macrophages']
SLC40A1,1,0,1,['Macrophages']
HES1,1,0,1,['Macrophages']
PON2,1,0,1,['CLEC10A+ DCs']
SLC2A9,1,0,1,['CLEC10A+ DCs']
POU2AF1,1,1,0,['Macrophages']
DEFB4A,1,1,0,['Langerhans']
HDAC8,1,0,1,['CD4+ T cells']
DEPTOR,1,0,1,['Macrophages']
SLC25A4,1,0,1,['Macrophages']
PPARD,1,1,0,['Macrophages']
HCK,1,1,0,['Mast cells']
HCAR3,1,0,1,['CLEC10A+ DCs']
HCAR2,1,0,1,['CLEC10A+ DCs']
SLC22A4,1,1,0,['Macrophages']
DISC1,1,0,1,['CD8+ T cells']
DISP1,1,0,1,['Macrophages']
DLEC1,1,0,1,['Tregs']
SLC1A5,1,1,0,['Mast cells']
SLC1A3,1,1,0,['Macrophages']
TJP2,1,1,0,['Macrophages']
FOXB1,1,0,1,['CLEC9A+ DCs']
ARRB1,1,0,1,['CD8+ T cells']
MEIS3,1,1,0,['Macrophages']
ZC3H12D,1,1,0,['Tregs']
ADIPOQ,1,0,1,['Macrophages']
TOX2,1,1,0,['Tregs']
KLF4,1,0,1,['CLEC9A+ DCs']
TP53,1,1,0,['Macrophages']
MYC,1,1,0,['CD4+ T cells']
NME1,1,1,0,['Macrophages']
ADM,1,1,0,['Macrophages']
MAP4K4,1,1,0,['Macrophages']
TP63,1,1,0,['CLEC10A+ DCs']
ANGPTL2,1,1,0,['Macrophages']
MYCL,1,1,0,['Macrophages']
KLHL26,1,0,1,['Macrophages']
C1QTNF6,1,1,0,['Macrophages']
TPX2,1,0,1,['CLEC10A+ DCs']
C1QBP,1,1,0,['Tregs']
ADORA2B,1,0,1,['CLEC10A+ DCs']
BVES,1,0,1,['Macrophages']
TRAF1,1,1,0,['Macrophages']
ADORA3,1,0,1,['CLEC9A+ DCs']
NRP1,1,0,1,['Macrophages']
TRAF3IP2,1,1,0,['Macrophages']
ZBTB33,1,0,1,['CLEC10A+ DCs']
BTLA,1,0,1,['CD8+ T cells']
AMOT,1,0,1,['Macrophages']
LMNB1,1,1,0,['Macrophages']
NLRP6,1,1,0,['Macrophages']
MEF2C,1,0,1,['Macrophages']
KLF12,1,0,1,['CLEC10A+ DCs']
ANPEP,1,1,0,['Macrophages']
ADAM12,1,1,0,['Macrophages']
WARS,1,1,0,['Macrophages']
WAS,1,1,0,['CLEC9A+ DCs']
CALCRL,1,0,1,['Macrophages']
CALCR,1,0,1,['Macrophages']
NIBAN1,1,1,0,['Macrophages']
CALB2,1,0,1,['Mast cells']
ADAM8,1,1,0,['Macrophages']
LRRC15,1,1,0,['Macrophages']
ADAMTS12,1,1,0,['Macrophages']
NTRK1,1,1,0,['Mast cells']
LRATD2,1,0,1,['Tregs']
UCHL1,1,1,0,['Macrophages']
ADAMTS5,1,1,0,['Macrophages']
LPAR1,1,0,1,['CD4+ T cells']
ATOH8,1,0,1,['CD4+ T cells']
LOXL2,1,1,0,['Macrophages']
ATP1A1,1,1,0,['CLEC10A+ DCs']
CACNA1C,1,1,0,['Macrophages']
ADGRA2,1,0,1,['CD8+ T cells']
UBD,1,1,0,['Macrophages']
MERTK,1,1,0,['CLEC10A+ DCs']
KL,1,0,1,['Macrophages']
MXD1,1,1,0,['Macrophages']
TXK,1,1,0,['CD4+ T cells']
KLRB1,1,0,1,['CD8+ T cells']
TNFSF8,1,1,0,['Tregs']
LAMC2,1,0,1,['CD4+ T cells']
WNT5B,1,0,1,['Macrophages']
LAMP3,1,1,0,['CLEC10A+ DCs']
AIM2,1,1,0,['Macrophages']
TRPS1,1,1,0,['Mast cells']
WWP1,1,0,1,['Macrophages']
BATF,1,1,0,['Macrophages']
BATF3,1,0,1,['CLEC10A+ DCs']
BCR,1,1,0,['CD8+ T cells']
LBP,1,1,0,['Macrophages']
ALG13,1,0,1,['Macrophages']
LGR4,1,0,1,['Macrophages']
MZB1,1,1,0,['Macrophages']
LGMN,1,0,1,['Macrophages']
BCL6,1,1,0,['Macrophages']
TSLP,1,0,1,['Macrophages']
XCR1,1,0,1,['CLEC9A+ DCs']
LDLRAD4,1,0,1,['Macrophages']
ALDH2,1,1,0,['Macrophages']
BCL2A1,1,1,0,['Macrophages']
AKT3,1,0,1,['Tregs']
BCAR3,1,0,1,['Macrophages']
TSPAN14,1,1,0,['CD4+ T cells']
MASP1,1,1,0,['Macrophages']
NOTCH3,1,0,1,['Tregs']
TSPAN8,1,0,1,['Macrophages']
BAIAP2,1,0,1,['Macrophages']
AHR,1,0,1,['CD8+ T cells']
TWIST2,1,1,0,['Macrophages']
ALPL,1,1,0,['Macrophages']
BST1,1,1,0,['Macrophages']
NOD2,1,1,0,['Macrophages']
LIMK1,1,1,0,['Macrophages']
TREM1,1,1,0,['Macrophages']
TREM2,1,1,0,['Macrophages']
AEBP1,1,1,0,['Macrophages']
NBPF3,1,0,1,['CD4+ T cells']
KLRK1,1,0,1,['Macrophages']
KMO,1,1,0,['Macrophages']
LILRB5,1,0,1,['Macrophages']
AXIN2,1,0,1,['CLEC10A+ DCs']
LILRB4,1,1,0,['CLEC10A+ DCs']
MYLIP,1,0,1,['Macrophages']
NR3C2,1,0,1,['Macrophages']
AGAP1,1,0,1,['Mast cells']
YWHAQ,1,1,0,['Langerhans']
NAV2,1,0,1,['Macrophages']
MCTP2,1,1,0,['Macrophages']
NR1H3,1,1,0,['Macrophages']
TUBB2A,1,1,0,['CLEC10A+ DCs']
BMP4,1,0,1,['CD4+ T cells']
BACE2,1,1,0,['Macrophages']
MYO1B,1,1,0,['Macrophages']
WNT5A,1,1,0,['Macrophages']
YES1,1,1,0,['CLEC10A+ DCs']
ZFYVE21,1,0,1,['CD4+ T cells']
ADCYAP1,1,1,0,['Mast cells']
TSPAN4,1,0,1,['Macrophages']
NECTIN3,1,0,1,['CD4+ T cells']
NECTIN2,1,1,0,['Macrophages']
MSR1,1,1,0,['Mast cells']
ACAP1,1,1,0,['Macrophages']
LZTS1,1,0,1,['CD4+ T cells']
APOL3,1,1,0,['CD8+ T cells']
MAN1A1,1,0,1,['Macrophages']
ARNTL,1,1,0,['Macrophages']
TNFRSF10A,1,1,0,['Macrophages']
LTA4H,1,1,0,['Macrophages']
TLR8,1,1,0,['Macrophages']
TNFRSF11A,1,0,1,['Macrophages']
MMP12,1,1,0,['Macrophages']
TNFRSF12A,1,0,1,['CD4+ T cells']
NXF3,1,0,1,['Macrophages']
VSIG4,1,0,1,['CLEC10A+ DCs']
NFKB2,1,1,0,['Macrophages']
MRC1,1,1,0,['Mast cells']
OSR2,1,0,1,['CLEC10A+ DCs']
CCL14,1,0,1,['Macrophages']
MSN,1,1,0,['Macrophages']
CCDC86,1,0,1,['CLEC10A+ DCs']
NUSAP1,1,0,1,['CLEC10A+ DCs']
NEK3,1,0,1,['CLEC10A+ DCs']
CCDC141,1,0,1,['Macrophages']
CCDC14,1,0,1,['CLEC10A+ DCs']
MRTFB,1,0,1,['CLEC10A+ DCs']
CCDC136,1,0,1,['Macrophages']
TMEM123,1,0,1,['CD8+ T cells']
ZNF469,1,0,1,['Macrophages']
MSC,1,1,0,['Macrophages']
ABCG2,1,0,1,['Macrophages']
ABI3BP,1,0,1,['CD4+ T cells']
USP36,1,0,1,['Macrophages']
CBX7,1,0,1,['Macrophages']
KCNJ2,1,1,0,['Macrophages']
TMEM106B,1,0,1,['CD8+ T cells']
ORAI2,1,1,0,['Macrophages']
APELA,1,1,0,['Macrophages']
OGG1,1,0,1,['Macrophages']
MNS1,1,0,1,['Macrophages']
KCNN4,1,0,1,['CD8+ T cells']
LTBP2,1,0,1,['Macrophages']
TNFRSF18,1,1,0,['Tregs']
MS4A1,1,1,0,['Macrophages']
TLR10,1,1,0,['CLEC10A+ DCs']
ANXA3,1,1,0,['Langerhans']
AQP9,1,1,0,['Macrophages']
AR,1,0,1,['CD4+ T cells']
TNFSF13,1,1,0,['CLEC10A+ DCs']
CARD11,1,1,0,['CLEC10A+ DCs']
ARC,1,0,1,['Macrophages']
LRRK2,1,1,0,['Macrophages']
TNFSF10,1,0,1,['CD8+ T cells']
AOC3,1,0,1,['Macrophages']
ACSL4,1,1,0,['Macrophages']
VAMP3,1,0,1,['CLEC9A+ DCs']
ANXA8,1,1,0,['CLEC10A+ DCs']
UNC45A,1,1,0,['CLEC10A+ DCs']
TNFRSF9,1,1,0,['Macrophages']
TNFRSF8,1,1,0,['Macrophages']
MAOB,1,1,0,['Macrophages']
TLR3,1,0,1,['CLEC9A+ DCs']
MICAL2,1,1,0,['Macrophages']
MAF,1,0,1,['Macrophages']
CCL19,1,1,0,['CLEC10A+ DCs']
TLR2,1,1,0,['Macrophages']
VASP,1,1,0,['Macrophages']
ACTN1,1,1,0,['Macrophages']
PRRC2A,0,0,0,
PRR11,0,0,0,
PRMT9,0,0,0,
POU3F1,0,0,0,
POU3F4,0,0,0,
POU3F3,0,0,0,
PRMT8,0,0,0,
PRPSAP1,0,0,0,
PRLR,0,0,0,
PRMT5,0,0,0,
PPFIA4,0,0,0,
NBN,0,0,0,
PRM1,0,0,0,
PRMT1,0,0,0,
NAV1,0,0,0,
NEK2,0,0,0,
PRR13,0,0,0,
PPID,0,0,0,
NEK4,0,0,0,
NBL1,0,0,0,
NEK11,0,0,0,
PRR14L,0,0,0,
PPIC,0,0,0,
PPARA,0,0,0,
NEK6,0,0,0,
PRNCR1,0,0,0,
NEK5,0,0,0,
PRPF8,0,0,0,
NAP1L4,0,0,0,
PROP1,0,0,0,
PROS1,0,0,0,
PRPF31,0,0,0,
NAIF1,0,0,0,
PROSER1,0,0,0,
PROX1,0,0,0,
NAIP,0,0,0,
NANOG,0,0,0,
NAP1L3,0,0,0,
PPARGC1A,0,0,0,
PRPF19,0,0,0,
PPARG,0,0,0,
NEK8,0,0,0,
NAP1L5,0,0,0,
PROM1,0,0,0,
NAT1,0,0,0,
PROCR,0,0,0,
PPFIA3,0,0,0,
PRPF3,0,0,0,
POU4F3,0,0,0,
PRPS2,0,0,0,
PROC,0,0,0,
PRPS1,0,0,0,
NAT2,0,0,0,
PRPH,0,0,0,
NAT10,0,0,0,
POU5F1,0,0,0,
PRPH2,0,0,0,
PPFIA1,0,0,0,
PRODH,0,0,0,
PROKR2,0,0,0,
PROM2,0,0,0,
PPP2R3A,0,0,0,
PRL,0,0,0,
PRICKLE1,0,0,0,
PRF1,0,0,0,
NDUFA3,0,0,0,
NCOR1,0,0,0,
NCOA4,0,0,0,
PRG2,0,0,0,
PRG4,0,0,0,
NCOA3,0,0,0,
PPP2R1A,0,0,0,
NCOA2,0,0,0,
NCOR2,0,0,0,
PRKAA1,0,0,0,
NACC2,0,0,0,
NCOA1,0,0,0,
PRKAA2,0,0,0,
PPP2CA,0,0,0,
PRKAB1,0,0,0,
PRKACA,0,0,0,
NDUFAB1,0,0,0,
PREPL,0,0,0,
PREP,0,0,0,
PRKAG1,0,0,0,
PRDM10,0,0,0,
PPP3CA,0,0,0,
NDRG4,0,0,0,
PPP4R1,0,0,0,
PPP4R4,0,0,0,
NDP,0,0,0,
PRAME,0,0,0,
PRCP,0,0,0,
PRDM1,0,0,0,
NDNF,0,0,0,
NCR1,0,0,0,
PRDM12,0,0,0,
NDST4,0,0,0,
PRDM13,0,0,0,
PRDM15,0,0,0,
NCSTN,0,0,0,
NCS1,0,0,0,
PRDM6,0,0,0,
NCR2,0,0,0,
PRKACB,0,0,0,
NCLN,0,0,0,
NEK1,0,0,0,
PRKD1,0,0,0,
PPP1R15B,0,0,0,
PPP1CA,0,0,0,
NEDD4L,0,0,0,
NEDD9,0,0,0,
PRKCZ,0,0,0,
PPM1D,0,0,0,
NCBP3,0,0,0,
PPP2R3C,0,0,0,
NEFH,0,0,0,
NCEH1,0,0,0,
PRKD3,0,0,0,
PRKDC,0,0,0,
NEFL,0,0,0,
NCBP1,0,0,0,
NCAM1,0,0,0,
NEFM,0,0,0,
NEIL3,0,0,0,
PRKRA,0,0,0,
PRKCQ,0,0,0,
NEDD4,0,0,0,
PRKAG2,0,0,0,
PRKCB,0,0,0,
NEBL,0,0,0,
NCK1,0,0,0,
NCF4,0,0,0,
PPP1R9B,0,0,0,
PRKAR1A,0,0,0,
PPP1R7,0,0,0,
PPP1R37,0,0,0,
PRKCA,0,0,0,
PRKCD,0,0,0,
PRKCI,0,0,0,
PPP1R1C,0,0,0,
PRKCE,0,0,0,
NECAB2,0,0,0,
NECTIN1,0,0,0,
NCF2,0,0,0,
PRKCG,0,0,0,
NCF1,0,0,0,
PPP1R1B,0,0,0,
PPM1A,0,0,0,
MYO1C,0,0,0,
NAAA,0,0,0,
MTNR1A,0,0,0,
RAD50,0,0,0,
RAD51,0,0,0,
RAD52,0,0,0,
RAD54L,0,0,0,
MTRES1,0,0,0,
RAD54L2,0,0,0,
MTR,0,0,0,
MTPAP,0,0,0,
MTOR,0,0,0,
RAF1,0,0,0,
MTNR1B,0,0,0,
MTHFR,0,0,0,
MT1A,0,0,0,
MTHFD1,0,0,0,
RAG1,0,0,0,
MTFR1L,0,0,0,
MTERF2,0,0,0,
MTCL1,0,0,0,
RAI2,0,0,0,
MTCH2,0,0,0,
MTAP,0,0,0,
MTA2,0,0,0,
RAN,0,0,0,
RANBP2,0,0,0,
MTREX,0,0,0,
RAD18,0,0,0,
RACGAP1,0,0,0,
RAC1,0,0,0,
PYGM,0,0,0,
PYM1,0,0,0,
PZP,0,0,0,
QPCTL,0,0,0,
MUC4,0,0,0,
QRFPR,0,0,0,
R3HDM1,0,0,0,
MUC19,0,0,0,
R3HDM2,0,0,0,
RAB11A,0,0,0,
RAB11FIP5,0,0,0,
MUC16,0,0,0,
RAB28,0,0,0,
RAB5A,0,0,0,
RAB6C,0,0,0,
RAB7A,0,0,0,
RAB8A,0,0,0,
RAB9A,0,0,0,
MUC1,0,0,0,
RABL2B,0,0,0,
RABL3,0,0,0,
RABL6,0,0,0,
MTRF1,0,0,0,
MTA1,0,0,0,
RANBP3,0,0,0,
PRRG2,0,0,0,
RBL2,0,0,0,
RAVER1,0,0,0,
RB1,0,0,0,
MRGPRX2,0,0,0,
MRFAP1L1,0,0,0,
MRE11,0,0,0,
RBBP4,0,0,0,
RBBP5,0,0,0,
MRC2,0,0,0,
RBBP7,0,0,0,
RBCK1,0,0,0,
MRAP2,0,0,0,
RBM10,0,0,0,
MSTN,0,0,0,
RBM12,0,0,0,
MRAP,0,0,0,
MR1,0,0,0,
RBM14,0,0,0,
MPZL1,0,0,0,
RBM15,0,0,0,
RBM19,0,0,0,
RBM20,0,0,0,
RBM23,0,0,0,
MPZ,0,0,0,
MPPED2,0,0,0,
RASSF8,0,0,0,
MRM3,0,0,0,
MRPL45,0,0,0,
MRTFA,0,0,0,
RANBP9,0,0,0,
RANGAP1,0,0,0,
RAP1A,0,0,0,
MST1R,0,0,0,
MST1,0,0,0,
RAPGEF5,0,0,0,
RAPGEF6,0,0,0,
MSLN,0,0,0,
RARA,0,0,0,
RARB,0,0,0,
RASA1,0,0,0,
RASD1,0,0,0,
MSI2,0,0,0,
RASD2,0,0,0,
RASGEF1C,0,0,0,
MSI1,0,0,0,
MSH6,0,0,0,
MSH3,0,0,0,
MSH2,0,0,0,
MS4A2,0,0,0,
RASSF1,0,0,0,
RASSF2,0,0,0,
RASSF3,0,0,0,
PYGL,0,0,0,
MUC5AC,0,0,0,
PYGB,0,0,0,
PTBP2,0,0,0,
PSMD3,0,0,0,
PSMD4,0,0,0,
PSME3,0,0,0,
PSPC1,0,0,0,
MYO5B,0,0,0,
PSRC1,0,0,0,
MYO5A,0,0,0,
MYO1F,0,0,0,
MYO1E,0,0,0,
PTAFR,0,0,0,
PTBP1,0,0,0,
MYO1D,0,0,0,
MUC5B,0,0,0,
PTCD1,0,0,0,
NELL1,0,0,0,
PTCD2,0,0,0,
PTCD3,0,0,0,
PTCH1,0,0,0,
PTDSS1,0,0,0,
PTEN,0,0,0,
MYO18B,0,0,0,
MYO15A,0,0,0,
MYNN,0,0,0,
MYLK3,0,0,0,
PSMD2,0,0,0,
PSMD10,0,0,0,
MYO6,0,0,0,
PSMD1,0,0,0,
PRRX1,0,0,0,
PRSS16,0,0,0,
PRTN3,0,0,0,
PRXL2A,0,0,0,
PSD,0,0,0,
NAA40,0,0,0,
PSEN1,0,0,0,
NAA16,0,0,0,
PSEN2,0,0,0,
PSENEN,0,0,0,
PSG1,0,0,0,
PSIP1,0,0,0,
NAA15,0,0,0,
PSKH1,0,0,0,
N4BP2,0,0,0,
PSMA6,0,0,0,
MZF1,0,0,0,
PSMB5,0,0,0,
MYOT,0,0,0,
MYOF,0,0,0,
PSMC2,0,0,0,
MYOD1,0,0,0,
PSMC5,0,0,0,
MYLK2,0,0,0,
PTGES3,0,0,0,
PTGFR,0,0,0,
PTPN6,0,0,0,
PTPRF,0,0,0,
PTPRG,0,0,0,
PTPRJ,0,0,0,
MYBL2,0,0,0,
PTPRM,0,0,0,
PTPRQ,0,0,0,
PTPRU,0,0,0,
PTPRZ1,0,0,0,
PTTG1,0,0,0,
MYBBP1A,0,0,0,
MYB,0,0,0,
MXRA7,0,0,0,
PUM3,0,0,0,
PURB,0,0,0,
PUSL1,0,0,0,
MX1,0,0,0,
PVR,0,0,0,
MVD,0,0,0,
PWP1,0,0,0,
MUTYH,0,0,0,
PWWP3A,0,0,0,
PXN,0,0,0,
PYCARD,0,0,0,
MYCBP,0,0,0,
PTPN5,0,0,0,
PTGFRN,0,0,0,
MYCN,0,0,0,
PTGIR,0,0,0,
MYH9,0,0,0,
PTGIS,0,0,0,
PTGS1,0,0,0,
PTGS2,0,0,0,
PTH,0,0,0,
MYH4,0,0,0,
PTH1R,0,0,0,
PTH2R,0,0,0,
MYH2,0,0,0,
PTHLH,0,0,0,
MYH13,0,0,0,
MYH10,0,0,0,
MYH1,0,0,0,
MYEF2,0,0,0,
PTK6,0,0,0,
MYD88,0,0,0,
PTOV1,0,0,0,
PTP4A1,0,0,0,
PTP4A3,0,0,0,
PTPA,0,0,0,
PTPN11,0,0,0,
PTPN13,0,0,0,
POU2F3,0,0,0,
OXTR,0,0,0,
POU2F2,0,0,0,
NT5DC3,0,0,0,
PCDHA2,0,0,0,
PCDHA4,0,0,0,
PCDHA9,0,0,0,
PCDHB14,0,0,0,
PCGEM1,0,0,0,
PCID2,0,0,0,
PCK1,0,0,0,
PCNA,0,0,0,
NT5E,0,0,0,
PCNX3,0,0,0,
PCSK1,0,0,0,
PCSK9,0,0,0,
PCDH8,0,0,0,
PDCD1,0,0,0,
PDCD10,0,0,0,
NT5DC2,0,0,0,
PDCD4,0,0,0,
RBM27,0,0,0,
NT5C2,0,0,0,
PDCD6,0,0,0,
PDCD6IP,0,0,0,
NSUN5,0,0,0,
PDE10A,0,0,0,
NSUN2,0,0,0,
PCDHA1,0,0,0,
PCDH20,0,0,0,
NPTN,0,0,0,
PCAT1,0,0,0,
NTRK2,0,0,0,
PAX8,0,0,0,
PBDC1,0,0,0,
PBK,0,0,0,
PBLD,0,0,0,
PBX1,0,0,0,
PBX3,0,0,0,
PBXIP1,0,0,0,
PC,0,0,0,
NTPCR,0,0,0,
PCA3,0,0,0,
PCBD1,0,0,0,
PCDH18,0,0,0,
PCBD2,0,0,0,
PCBP3,0,0,0,
PCCB,0,0,0,
PCDH10,0,0,0,
NTNG2,0,0,0,
PCDH11X,0,0,0,
PCDH11Y,0,0,0,
NTN1,0,0,0,
NTMT1,0,0,0,
NTF3,0,0,0,
PCDH17,0,0,0,
PDE3A,0,0,0,
NSD2,0,0,0,
NRXN2,0,0,0,
NR0B2,0,0,0,
NR5A1,0,0,0,
PDZD7,0,0,0,
NR4A1,0,0,0,
NR3C1,0,0,0,
PDZK1,0,0,0,
NR2E3,0,0,0,
NR2C2,0,0,0,
NR1I3,0,0,0,
NR1I2,0,0,0,
NR1H4,0,0,0,
NR1H2,0,0,0,
NR0B1,0,0,0,
NRSN2,0,0,0,
NQO2,0,0,0,
PEBP4,0,0,0,
PECAM1,0,0,0,
NQO1,0,0,0,
PEF1,0,0,0,
PEG10,0,0,0,
NPY2R,0,0,0,
NPY1R,0,0,0,
PELO,0,0,0,
NPTX2,0,0,0,
PELP1,0,0,0,
PDYN,0,0,0,
PDXDC1,0,0,0,
NR5A2,0,0,0,
NR6A1,0,0,0,
NRSN1,0,0,0,
NRROS,0,0,0,
PDE4DIP,0,0,0,
PDE6H,0,0,0,
NRP2,0,0,0,
PDGFD,0,0,0,
PDGFRA,0,0,0,
PDGFRB,0,0,0,
PDGFRL,0,0,0,
PDHA1,0,0,0,
NRK,0,0,0,
PDHB,0,0,0,
PDIA2,0,0,0,
NRIP1,0,0,0,
PDIA3,0,0,0,
PDK1,0,0,0,
NRF1,0,0,0,
NREP,0,0,0,
NRDE2,0,0,0,
PDLIM4,0,0,0,
PDPK1,0,0,0,
NRAS,0,0,0,
PDX1,0,0,0,
PAX7,0,0,0,
PAX6,0,0,0,
PAX5,0,0,0,
OLR1,0,0,0,
OPRPN,0,0,0,
PADI4,0,0,0,
OPRM1,0,0,0,
PAEP,0,0,0,
OPRL1,0,0,0,
OPRK1,0,0,0,
OPRD1,0,0,0,
OPN1LW,0,0,0,
PAGE4,0,0,0,
OPALIN,0,0,0,
ONECUT3,0,0,0,
OLIG2,0,0,0,
